section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,why
Combined,Set1,Draw2,1,024,straight,30.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,straight|cov4|span6|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Combined,Set2,Draw1,1,022,straight,29.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,straight|cov4|span6|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Combined,Set1,Draw1,1,024,straight,28.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,straight|cov4|span4|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Evening,Set1,Draw1,1,448,boxed,27.0,"R2,R4,R6,R8",False,False,False,False,True,True,False,True,False,2,boxed|cov4|span7|cons_full|hot2|dom_last|cons_3v
Combined,Set1,Draw1,2,224,straight,26.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,2,straight|cov4|span6|vstr2|vstr3|cons_full|hot2|cons_3v
Combined,Set3,Draw1,1,023,boxed,22.0,"R2,R4,R6,R8",False,False,False,False,True,True,False,True,False,1,boxed|cov4|span5|cons_full|hot1|dom_last|cons_3v
Evening,Set1,Draw2,1,4478,boxed,22.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,boxed|cov4|span6|hot2|dom_last
Evening,Set1,Draw3,1,44778,boxed,22.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,boxed|cov4|span5|hot2|dom_last
Combined,Set1,Draw3,1,247,boxed,21.0,"R2,R4,R6,R8",True,False,False,False,True,True,False,True,False,2,boxed|cov4|mirror|cons_full|hot2|dom_last|cons_3v
Evening,Set2,Draw1,1,0244,boxed,21.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,1,boxed|cov4|span7|hot1|dom_last
Evening,Set2,Draw1,1,244,straight,21.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,straight|cov3|span7|vstr2|vstr3|hot1
Midday,Set2,Draw1,1,126,boxed,21.0,"R2,R4,R6,R8",True,False,False,False,True,True,False,True,False,1,boxed|cov4|span3|mirror|cons_full|hot1|dom_last|cons_3v
Midday,Set1,Draw1,1,1226,boxed,21.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,boxed|cov4|span4|mirror|hot2|dom_last
Midday,Set1,Draw7,1,224,straight,20.5,"R2,R6,R8",False,True,True,True,False,False,False,True,False,0,straight|cov3|vstr2|vstr3|single_left|dom_last
Combined,Set1,Draw1,3,224,straight,20.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,straight|cov3|span6|vstr2|vstr3|hot2
Evening,Set2,Draw1,4,244,straight,20.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,straight|cov3|span7|vstr2|vstr3|hot1
Evening,Set2,Draw1,3,244,straight,20.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,straight|cov3|span7|vstr2|vstr3|hot1
Evening,Set2,Draw1,2,244,straight,20.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,straight|cov3|span7|vstr2|vstr3|hot1
Evening,Set1,Draw1,3,244,straight,20.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,straight|cov3|span6|vstr2|vstr3|hot2
Evening,Set1,Draw1,2,244,straight,20.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,straight|cov3|span6|vstr2|vstr3|hot2
Evening,Set1,Draw4,1,13778,boxed,20.0,"R2,R6,R8",True,False,False,False,False,False,False,True,False,2,boxed|cov3|span4|mirror|hot2|dom_last
Evening,Set1,Draw4,1,344,straight,20.0,"R4,R6,R8",False,True,True,False,False,False,False,False,False,2,straight|cov3|span4|vstr2|vstr3|hot2
Evening,Set1,Draw5,1,137788,boxed,20.0,"R2,R6,R8",True,False,False,False,False,False,False,True,False,2,boxed|cov3|span3|mirror|hot2|dom_last
Midday,Set1,Draw2,1,1226,boxed,20.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,boxed|cov4|span3|mirror|hot2|dom_last
Evening,Set1,Draw6,1,244,straight,19.5,"R2,R6,R8",False,True,True,False,False,False,False,True,False,1,straight|cov3|span2|vstr2|vstr3|hot1|dom_last
