role	source_path	snapshot_path	status
template_checkpoint	tasks/MASTER_DEEP_REVIEW_WORKFLOW_CHECKPOINT__2026-07-30.md	snapshots/MASTER_DEEP_REVIEW_WORKFLOW_CHECKPOINT__2026-07-30.md	immutable_snapshot
extraction_training	tasks/CORE_EXTRACTION_ZONE_AND_CONVEY_TRAINING_LOG.md	snapshots/CORE_EXTRACTION_ZONE_AND_CONVEY_TRAINING_LOG.md	immutable_snapshot
extraction_examples	tasks/CORE_EXTRACTION_ZONE_EXAMPLE_LOG.md	snapshots/CORE_EXTRACTION_ZONE_EXAMPLE_LOG.md	immutable_snapshot
deep_review_journal	docs/AAT9_KIT/FINAL VALIDATION/final docs/AAT9_SUPER_HEAVYDUTY_DEEP_EXAMPLE_REVIEW_JOURNAL.md	snapshots/AAT9_SUPER_HEAVYDUTY_DEEP_EXAMPLE_REVIEW_JOURNAL.md	immutable_snapshot
deep_review_changelog	docs/AAT9_KIT/FINAL VALIDATION/final docs/AAT9_DEEP_EXAMPLE_REVIEW_CHANGELOG.md	snapshots/AAT9_DEEP_EXAMPLE_REVIEW_CHANGELOG.md	immutable_snapshot
v2_canonical_source	tasks/AAT9 Extraction V2 — Canonical Pre_GOLD_DAY_1_CHANGES–.txt	snapshots/EXTRACTION_V2_CANONICAL_PRE_GOLD_DAY2_PLAN_SOURCE.txt	filename_normalized_snapshot
gold_day1_reconciliation	tasks/CHANGES_GOLD_DAY1.txt	snapshots/GOLD_DAY1_V2_RECONCILIATION_SOURCE.txt	immutable_snapshot
gold_day1_external_review	tasks/PRO_PATH_2_AUG2.txt	snapshots/GOLD_DAY1_EXTERNAL_REVIEW_SOURCE.txt	immutable_snapshot
v2_frozen_backlog	tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/CHATGPT_PRO_DEEP_REVIEW_PACKAGE_V1/04_FROZEN_EXTRACTION_V2_OPTIMIZATION_BACKLOG.md	snapshots/FROZEN_EXTRACTION_V2_OPTIMIZATION_BACKLOG.md	immutable_snapshot
theory_notes	tasks/POWER_THOUGHTS.txt	snapshots/POWER_THOUGHTS.txt	immutable_snapshot
system_direction	tasks/key_insights_important_1.txt	snapshots/KEY_INSIGHTS_IMPORTANT_1.txt	immutable_snapshot
git_advisory	tasks/PRO_GIT_SUMMARY.txt	snapshots/GIT_STABILIZATION_ADVISORY_SOURCE.txt	advisory_snapshot
gold_day1_start	tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/CHATGPT_PRO_DEEP_REVIEW_PACKAGE_V1/00_START_HERE.md	snapshots/gold_day1_package/00_START_HERE.md	contaminated_package_pointer
gold_day1_manifest_csv	tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/CHATGPT_PRO_DEEP_REVIEW_PACKAGE_V1/05_PACKAGE_MANIFEST.csv	snapshots/gold_day1_package/05_PACKAGE_MANIFEST.csv	provenance_only
gold_day1_manifest_json	tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/CHATGPT_PRO_DEEP_REVIEW_PACKAGE_V1/05_PACKAGE_MANIFEST.json	snapshots/gold_day1_package/05_PACKAGE_MANIFEST.json	provenance_only
gold_day1_validation	tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/CHATGPT_PRO_DEEP_REVIEW_PACKAGE_V1/VALIDATION_RECEIPT.md	snapshots/gold_day1_package/VALIDATION_RECEIPT.md	structural_validation_not_semantic_acceptance
predictive_freeze_manifest	tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/PREDICTIVE/PREDICTIVE_FREEZE_MANIFEST.json	snapshots/gold_day1_package/PREDICTIVE_FREEZE_MANIFEST.json	contaminated_analysis_provenance
post_result_manifest	tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/POST_RESULT/POST_RESULT_MANIFEST.json	snapshots/gold_day1_package/POST_RESULT_MANIFEST.json	contaminated_analysis_provenance
post_result_contract	tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/POST_RESULT_ASSESSMENT_CONTRACT.md	snapshots/gold_day1_package/POST_RESULT_ASSESSMENT_CONTRACT.md	research_contract
positional_expanded_successor	tasks/POSITIONAL/positional_tool.md	snapshots/legacy_relocations/positional/positional_tool.md	relocation_successor_snapshot
positional_aux_research	tasks/POSITIONAL/POSITIONAL_AUX_CORE_RESEARCH_LOG.md	snapshots/legacy_relocations/positional/POSITIONAL_AUX_CORE_RESEARCH_LOG.md	current_research_snapshot
