deleted_path	preserved_source_path	checkpoint_snapshot	equivalence	note
tasks/New folder/CODEX_LOG_DIGIT.txt	tasks/PICS/CODEX_LOG_DIGIT.txt	snapshots/legacy_relocations/digit/pics_root/CODEX_LOG_DIGIT.txt	normalized_exact	CRLF/LF only
tasks/New folder/New Text Document.txt	tasks/New Text Document.txt	snapshots/legacy_relocations/misc/New Text Document.txt	exact	empty file
tasks/New folder/New folder/A design charter for an “unstoppabl.txt	tasks/PICS/New folder/A design charter for an “unstoppabl.txt	snapshots/legacy_relocations/digit/pics_new_folder/A design charter for an “unstoppabl.txt	normalized_exact	CRLF/LF only
tasks/New folder/New folder/BASIS FOR ANALYSIS DIGIT REDUCTION.txt	tasks/PICS/New folder/BASIS FOR ANALYSIS DIGIT REDUCTION.txt	snapshots/legacy_relocations/digit/pics_new_folder/BASIS FOR ANALYSIS DIGIT REDUCTION.txt	normalized_exact	CRLF/LF only
tasks/New folder/New folder/DR training notes.txt	tasks/PICS/New folder/DR training notes.txt	snapshots/legacy_relocations/digit/pics_new_folder/DR training notes.txt	normalized_exact	CRLF/LF only
tasks/New folder/New folder/digit_05.txt	tasks/PICS/New folder/digit_05.txt	snapshots/legacy_relocations/digit/pics_new_folder/digit_05.txt	normalized_exact	CRLF/LF only
tasks/New folder/New folder/digit_log.txt	tasks/PICS/New folder/digit_log.txt	snapshots/legacy_relocations/digit/pics_new_folder/digit_log.txt	normalized_exact	CRLF/LF only
tasks/New folder/New folder/digit_training.txt	tasks/PICS/New folder/digit_training.txt	snapshots/legacy_relocations/digit/pics_new_folder/digit_training.txt	normalized_exact	CRLF/LF only
tasks/New folder/design_note.txt	tasks/PICS/design_note.txt	snapshots/legacy_relocations/digit/pics_root/design_note.txt	exact	exact SHA-256
tasks/New folder/digit/CODEX_LOG_DIGIT.txt	tasks/PICS/digit/CODEX_LOG_DIGIT.txt	snapshots/legacy_relocations/digit/pics_digit/CODEX_LOG_DIGIT.txt	normalized_exact	CRLF/LF only
tasks/New folder/digit/CORE_THEORY.txt	tasks/PICS/digit/CORE_THEORY.txt	snapshots/legacy_relocations/digit/pics_digit/CORE_THEORY.txt	normalized_exact	CRLF/LF only
tasks/New folder/digit/DIGIT_TRAINING.txt	tasks/PICS/digit/DIGIT_TRAINING.txt	snapshots/legacy_relocations/digit/pics_digit/DIGIT_TRAINING.txt	normalized_exact	CRLF/LF only
tasks/New folder/digit/current_hand_off.txt	tasks/PICS/digit/current_hand_off.txt	snapshots/legacy_relocations/digit/pics_digit/current_hand_off.txt	normalized_exact	CRLF/LF only
tasks/New folder/digit/digit_recap.txt	tasks/PICS/digit/digit_recap.txt	snapshots/legacy_relocations/digit/pics_digit/digit_recap.txt	exact	exact SHA-256
tasks/New folder/digit/digit_reduction_14.txt	tasks/PICS/digit/digit_reduction_14.txt	snapshots/legacy_relocations/digit/pics_digit/digit_reduction_14.txt	exact	exact SHA-256
tasks/New folder/digit/digit_training_notes.txt	tasks/PICS/digit/digit_training_notes.txt	snapshots/legacy_relocations/digit/pics_digit/digit_training_notes.txt	exact	exact SHA-256
tasks/New folder/digit_core_theory.txt	tasks/PICS/digit_core_theory.txt	snapshots/legacy_relocations/digit/pics_root/digit_core_theory.txt	normalized_exact	CRLF/LF only
tasks/New folder/note_2.txt	tasks/PICS/note_2.txt	snapshots/legacy_relocations/digit/pics_root/note_2.txt	exact	exact SHA-256
tasks/New folder/vtrac_old.txt	tasks/PICS/vtrac_old.txt	snapshots/legacy_relocations/digit/pics_root/vtrac_old.txt	exact	exact SHA-256
tasks/important_insights.txt	tasks/HELPER_REVIEW/important_insights_JUNE.txt	snapshots/legacy_relocations/review/important_insights_JUNE.txt	normalized_exact	renamed representative of four matching copies
tasks/optimize_positionaltracker.md	tasks/POSITIONAL/optimize_positionaltracker.md	snapshots/legacy_relocations/positional/optimize_positionaltracker.md	normalized_exact	CRLF/LF only
tasks/pos_5.txt	tasks/POSITIONAL/pos_5.txt	snapshots/legacy_relocations/positional/pos_5.txt	exact	exact SHA-256
tasks/position_5.txt	tasks/POSITIONAL/position_5.txt	snapshots/legacy_relocations/positional/position_5.txt	exact	exact SHA-256
tasks/positional_research.md	tasks/POSITIONAL/positional_research.md	snapshots/legacy_relocations/positional/positional_research.md	normalized_exact	CRLF/LF only
tasks/positional_tool.md	tasks/POSITIONAL/positional_research.md	snapshots/legacy_relocations/positional/positional_research.md	normalized_exact	deleted HEAD content duplicated positional_research; expanded successor also preserved
