state,area,section,set,draw,col,method,mode,earliest_exact_step,earliest_vtrac_step,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_family_exact_step,earliest_family_vtrac_step,final_value,final_exact_match,final_vtrac_match,final_drop_exact_match,final_drop_vtrac_match,final_family_exact_match,final_family_vtrac_match,final_drop_digit,final_vtrac_local_index,match_types
Delaware4,LS2,Midday,Set1,Draw4,3,A,own,-1,0,-1,0,-1,-1,,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Delaware4,LS2,Midday,Set1,Draw4,3,A,combined,-1,0,-1,0,-1,-1,,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Delaware4,LS2,Midday,Set1,Draw4,3,B,own,-1,0,-1,0,-1,-1,,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Delaware4,LS2,Midday,Set1,Draw4,3,B,combined,-1,0,-1,0,-1,-1,,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Delaware4,LS2,Midday,Set1,Draw4,3,C,own,-1,0,-1,0,-1,-1,,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Delaware4,LS2,Midday,Set1,Draw4,3,C,combined,-1,0,-1,0,-1,-1,,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Delaware4,LS2,Midday,Set1,Draw4,3,D,own,-1,0,-1,0,-1,-1,,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Delaware4,LS2,Midday,Set1,Draw4,3,D,combined,-1,0,-1,0,-1,-1,,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Delaware4,LS2,Midday,Set1,Draw4,3,E,own,-1,0,-1,0,-1,-1,,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Delaware4,LS2,Midday,Set1,Draw4,3,E,combined,-1,0,-1,0,-1,-1,,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Delaware4,LS2,Midday,Set1,Draw4,3,T,own,-1,0,-1,0,-1,-1,,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Delaware4,LS2,Midday,Set1,Draw4,3,T,combined,-1,0,-1,0,-1,-1,,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Delaware4,LS2,Midday,Set1,Draw6,1,A,own,-1,0,-1,2,-1,-1,*,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Delaware4,LS2,Midday,Set1,Draw6,1,A,combined,-1,0,-1,-1,-1,-1,*,0,0,0,0,0,0,,-1,vtrac
Delaware4,LS2,Midday,Set1,Draw6,1,B,own,-1,0,-1,-1,-1,-1,*,0,0,0,0,0,0,,-1,vtrac
Delaware4,LS2,Midday,Set1,Draw6,1,B,combined,-1,0,-1,-1,-1,-1,*,0,0,0,0,0,0,,-1,vtrac
Delaware4,LS2,Midday,Set1,Draw6,1,C,own,-1,0,-1,-1,-1,-1,*,0,0,0,0,0,0,,-1,vtrac
Delaware4,LS2,Midday,Set1,Draw6,1,C,combined,-1,0,-1,-1,-1,-1,*,0,0,0,0,0,0,,-1,vtrac
Delaware4,LS2,Midday,Set1,Draw6,1,D,own,-1,0,-1,-1,-1,-1,*,0,0,0,0,0,0,,-1,vtrac
Delaware4,LS2,Midday,Set1,Draw6,1,D,combined,-1,0,-1,-1,-1,-1,*,0,0,0,0,0,0,,-1,vtrac
Delaware4,LS2,Midday,Set1,Draw6,1,E,own,-1,0,-1,-1,-1,-1,*,0,0,0,0,0,0,,-1,vtrac
Delaware4,LS2,Midday,Set1,Draw6,1,E,combined,-1,0,-1,-1,-1,-1,*,0,0,0,0,0,0,,-1,vtrac
Delaware4,LS2,Midday,Set1,Draw6,1,T,own,-1,0,-1,-1,-1,-1,*,0,0,0,0,0,0,,-1,vtrac
Delaware4,LS2,Midday,Set1,Draw6,1,T,combined,-1,0,-1,-1,-1,-1,*,0,0,0,0,0,0,,-1,vtrac
